Short/Long,Default Value,Type,Summary
-pSamT_sort/--pSamToolsSort,1,``Integer``,Sort & index aligned reads using SamTools sort & index
-picardpath/--picardToolsPath,Na,``String``,Path to PicardTools. Mandatory for use of PicardTools
-pPicT_merge/--pPicardToolsMergeSamFiles,1,``Integer``,Merge (BAM file(s) ) using PicardTools MergeSamFiles
-pPicT_mergerr/--pPicardToolsMergeRapidReads,0,``Integer``,Merge Read batch processed (BAM file(s)) using PicardTools MergeSamFiles (Only relevant in rapid mode)
-pictmergetmpd/--PicardToolsMergeTempDirectory,"""/scratch/SLURM_JOB_ID""",``String``,Temporary Directory to write to using PicardTools MergeSamFiles (Supply whole path)
-picT_mergeprev/--picardToolsMergeSamFilesPrevious,0,``Integer``,"PicardTools MergeSamFiles on merged current files and previous BAM-file(s) (Supply whole path and name, name must contain sample id, and lanes_Xn info)"
-pPicT_markdup/--pPicardToolsMarkduplicates,1,``Integer``,Markduplicates using PicardTools MarkDuplicates
-pCC/--pCalculateCoverage,1,``Integer``,"Use coverage calculation tools: qaCompute, genomeCoverageBED and PicardTools (MultipleMetrics & HSmetrics)"
-pCC_bedgc/--pGenomeCoverageBED,1,``Integer``,Genome coverage calculation using genomeCoverageBED under '-pCC'
-pCC_bedc/--pCoverageBED,1,``Integer``,BED file coverage calculation using coverageBED under '-pCC'
-extb/--exomeTargetBed,Na,``String``,Target BED file of exome capture for coverageBed (@ -rd)
-pCC_qac/--pQaCompute,1,``Integer``,Genome coverage calculation using qaCompute under '-pCC'
-xcov/--xCoverage,30,``Integer``,"Max coverage depth when using '-genomeCoverageBED', '-qaCompute'"
-pCC_picmm/--pPicardToolsCollectMultipleMetrics,1,``Integer``,Metrics calculation using PicardTools collectMultipleMetrics under '-pCC'
-pCCE_pichs/--pPicardToolsCalculateHSMetrics,1,``Integer``,Capture calculation using PicardTools CalculateHSmetrics under '-pCC'
-extbl/--exomeTargetBedInfileList,Na,``String``,"Prepared target BED file for PicardTools CalculateHSMetrics (File ending should be "".infile_list"";@ -rd)"
-extpbl/--exomeTargetPaddedBedInfileList,Na,``String``,"Prepared padded target BED file for PicardTools CalculateHSMetrics (File ending should be "".padXXX.infile_list"";@ -rd)"
-tcovgn/--targetCoverageGeneNameFile,Na,``String``,File for adding gene name to target calulations
-pRCP/--pRCovPlots,1,``Integer``,Plots of genome coverage using rCovPlots
-gatkpath/--genomeAnalysisToolKitPath,Na,``String``,Path to GATK. Mandatory for use of GATK
-gatktmpd/--GATKTempDirectory,/scratch/SLURM_JOB_ID,``String``,Temporary Directory to write to using GATK ReAlignerTargetCreator & BaseRecalibrator (Supply whole path)
-gatktpbl/--GATKTargetPaddedBedIntervalList,Na,``String``,"Target BED file interval for GATK (File ending should be "".padXXX.interval_list"")"
-gatkdcov/--GATKDownSampleToCoverage,1000,``Integer``,Coverage to downsample to at any given locus
-pGATK_real/--pGATKRealigner,1,``Integer``,Realignments of reads using GATK realign
-gatkrealknset1/--GATKReAlignerINDELKnownSet1,1000G_phase1.indels.hg19.vcf,``String``,GATK ReAlignerTargetCreator/IndelRealigner known INDEL set 1 (@ -rd)
-gatkrealknset2/--GATKReAlignerINDELKnownSet2,Mills_and_1000G_gold_standard .indels.hg19.sites.vcf,``String``,GATK ReAlignerTargetCreator/IndelRealigner known INDEL set 2 (@ -rd)
-pGATK_baserecal/--pGATKBaseRecalibration,1,``Integer``,Recalibration of bases using GATK BaseRecalibrator/PrintReads
-gatkbaserecalknset/--GATKBaseReCalibrationSNPKnownSet,dbsnp_135.b37.vcf,``String``,GATK BaseReCalinbration known SNP set  (@ -rd)
-pSamT_view/--pSamToolsViewSplitChr,1,``Integer``,Split BAM file into individual chromosomes & index using samTools view
-pGATK_hapcall/--pGATKHaploTypeCaller,1,``Integer``,Variant discovery using GATK HaplotypeCaller
-gatkhapcallsnpknset/--GATKHaploTypeCallerSNPKnownSet,dbsnp_135.b37.vcf,``String``,GATK HaplotypeCaller dbSNP set for annotating ID columns  (@ -rd)
-pGATK_hapcallcombine/--pGATKHaploTypeCallerCombineVariants,1,``Integer``,Combine variants from HaplotypeCaller 
-pGATK_varrecal/--pGATKVariantRecalibration,1,``Integer``,Variant recalibration using GATK VariantRecalibrator/ApplyRecalibration
-gatkexrefsnp/--GATKExomeReferenceSNPs,NA,``String``,Prepared exome reference file (SNVs) for GATKVariantRecalibration
-gatkvarrecaltrhapmap/--GATKVariantReCalibrationTrainingSetHapMap,hapmap_3.3.b37.sites.vcf,``String``,GATK VariantRecalibrator HapMap training set  (@ -rd)
-gatkvarrecaltrdbsnp/--GATKVariantReCalibrationTrainingSetDbSNP,dbsnp_135.b37.vcf,``String``,GATK VariantRecalibrator dbSNP training set (@ -rd)
-gatkvarrecaltromni/--GATKVariantReCalibrationTrainingSet1000GOmni,1000G_omni2.5.b37.sites.vcf,``String``,GATK VariantRecalibrator 1000G_omni training set (@ -rd)
-gatkvarrecaltrdbmills/--GATKVariantReCalibrationTrainingSetMills,Mills_and_1000G_gold_standard .indels.hg19.sites.vcf,``String``,GATK VariantRecalibrator Mills training set  (@ -rd)
-gatkvarrecaltsfilterlevel/--GATKVariantReCalibrationTSFilterLevel,99.9,``Integer``,The truth sensitivity level at which to start filtering used in GATK VariantRecalibrator
-gatkvarrecalnumbadvariants/--GATKVariantReCalibrationNumBadVariants,1000,``Integer``,The number of worst scoring variants to use when building the Gaussian mixture model of bad variants used in GATK VariantRecalibrator
-pGATK_phaseTr/--pGATKPhaseByTransmission,1,``Integer``,Computes the most likely genotype and phases calls were unamibigous using GATK PhaseByTransmission
-pGATK_readPh/--pGATKReadBackedPhasing,1,``Integer``,"Performs physical phasing of SNP calls, based on sequencing reads using GATK ReadBackedPhasing"
-gatkreadphphaseqthr/--GATKReadBackedPhasingPhaseQualityThresh,20,``Integer``,The minimum phasing quality score required to output phasing
-pGATK_varevalall/--pGATKVariantEvalAll,1,``Integer``,Variant evaluation using GATK VariantEval for all variants
-pGATK_varevalexome/--pGATKVariantEvalExome,1,``Integer``,Variant evaluation using GATK VariantEval for exonic variants
-gatkvarevaldbsnp/--GATKVariantEvalDbSNP,Na,``String``,DbSNP file used in GATK VariantEval  (@ -rd)
-gatkvarevaldbgold/--GATKVariantEvalGold,Na,``String``,Gold Indel file used in GATK VariantEval  (@ -rd)
-pANVAR/--pAnnovar,1,``Integer``,Annotate variants using Annovar
-anvarpath/--annovarPath,Na,``String``,"Path to Annovar script directory (Supply whole path; NOTE: Assumes that the annovar db files are located in ""annovar/humandb"")"
-anvargbv/--annovarGenomeBuildVersion,hg19,``String``,Annovar genome build version
-anvartn/--annovarTableNames,Na,``String``,"Supply table names for ANNOVAR, comma sep"
-anvarstn/--annovarSupportedTableNames,0,``Integer``,Print Annovar MIP supported table names
-anvarmafth/--annovarMAFThreshold,0,``Integer``,Sets the minor allele frequency threshold in annovar
-anvarsiftth/--annovarSiftThreshold,0,``Integer``,Sets the avsift threshold in annovar
-pMerge_anvar/--pMergeAnnotatedVariants,1,``Integer``,Merge (& annotate) all annotated variants into one file using intersectCollect.pl
-mergeanvarte/--mergeAnnotatedVariantsTemplateFile,Na,``String``,Db template file used to create the specific family '-mergeanvardbf' master file
-mergeanvardbf/--mergeAnnotatedVariantsDbFile,Na,``String``,Db master file to be used in intersectCollect.pl
-pAdd_dp/--pAddDepth,1,``Integer``,Adds read depth at nonvariant sites using SamTools mpileup and add_depth.pl
-pRankVar/--pRankVariants,1,``Integer``,Ranking of annotated variants
-rs/--rankScore,-100,``Integer``,The rank score cut-off (-100 = i.e. include everything)
-gf/--geneFiltering,1,``Integer``,Filtering of genes that should be removed from downstream processing
-gfl/--geneFilteringList,Na,``String``,List of genes that should be removed from downstream processing (Supply whole path;Format: 1 entry per line;HGNC Symbol)
-alldbfile/--allElementsDbFile,Na,``String``,All elements Db file  (@ -rd)
-alldbcc/--allElementsDbGeneCoverageCalculation,1,``Integer``,All elements Db file coverage calculation
-alldbgidc/--allElementsDbGeneIdCol,4,``Integer``,All elements Db file gene ID column (zero-based)
-imdbfile/--ImportantDbFile,Na,``String``,Important Db file (@ -rd)
-imdbte/--ImportantDbTemplate,Na,``String``,Important Db template file used to create the specific family ``-im_dbmf`` master file
-imdbmf/--ImportantDbMasterFile,Na,``String``,Important Db master file to be used when selecting variants
-imdbfof/--ImportantDbFileOutFile,"\*",``String``,The file(s) to write to when selecting variants with intersectCollect.pl. (Comma sep;Supply whole path/file)
-imdbcc/--ImportantDbGeneCoverageCalculation,1,``Integer``,Important Db gene coverage calculation
-imdbgidc/--ImportantDbGeneIdCol,18,``Integer``,Important Db gene file gene ID column (zero-based)
-pSCheck/--pSampleCheck,1,``Integer``,QC for samples gender and relationship
